#TYPE Selected.System.Management.Automation.PSCustomObject
"Name";"DisplayName";"ServiceName"
"AeLookupSvc";"Application Experience";"AeLookupSvc"
"AJRouter";"AllJoyn Router Service";"AJRouter"
"ALG";"Application Layer Gateway Service";"ALG"
"AppIDSvc";"Application Identity";"AppIDSvc"
"Appinfo";"Application Information";"Appinfo"
"AppMgmt";"Application Management";"AppMgmt"
"AppReadiness";"App Readiness";"AppReadiness"
"AppVClient";"Microsoft App-V Client";"AppVClient"
"AppXSvc";"AppX Deployment Service (AppXSVC)";"AppXSvc"
"AudioEndpointBuilder";"Windows Audio Endpoint Builder";"AudioEndpointBuilder"
"Audiosrv";"Windows Audio";"Audiosrv"
"AxInstSV";"ActiveX Installer (AxInstSV)";"AxInstSV"
"BFE";"Base Filtering Engine";"BFE"
"BITS";"Background Intelligent Transfer Service";"BITS"
"BrokerInfrastructure";"Background Tasks Infrastructure Service";"BrokerInfrastructure"
"Browser";"Computer Browser";"Browser"
"BTAGService";"Bluetooth Audio Gateway Service";"BTAGService"
"BthAvctpSvc";"AVCTP service";"BthAvctpSvc"
"bthserv";"Bluetooth Support Service";"bthserv"
"camsvc";"Capability Access Manager Service";"camsvc"
"CcmExec";"SMS Agent Host";"CcmExec"
"CDPSvc";"Connected Devices Platform Service";"CDPSvc"
"CertPropSvc";"Certificate Propagation";"CertPropSvc"
"ClipSVC";"Client License Service (ClipSVC)";"ClipSVC"
"CmRcService";"Configuration Manager Remote Control";"CmRcService"
"COMSysApp";"COM+ System Application";"COMSysApp"
"CoreMessagingRegistrar";"CoreMessaging";"CoreMessagingRegistrar"
"CryptSvc";"Cryptographic Services";"CryptSvc"
"CscService";"Offline Files";"CscService"
"DcomLaunch";"DCOM Server Process Launcher";"DcomLaunch"
"DcpSvc";"DataCollectionPublishingService";"DcpSvc"
"defragsvc";"Optimize drives";"defragsvc"
"DeviceAssociationService";"Device Association Service";"DeviceAssociationService"
"DeviceInstall";"Device Install Service";"DeviceInstall"
"DevQueryBroker";"DevQuery Background Discovery Broker";"DevQueryBroker"
"Dhcp";"DHCP Client";"Dhcp"
"diagnosticshub.standardcollector.service";"Microsoft (R) Diagnostics Hub Standard Collector Service";"diagnosticshub.standardcollector.service"
"DiagTrack";"Connected User Experiences and Telemetry";"DiagTrack"
"DispBrokerDesktopSvc";"Display Policy Service";"DispBrokerDesktopSvc"
"DmEnrollmentSvc";"Device Management Enrollment Service";"DmEnrollmentSvc"
"dmwappushservice";"dmwappushsvc";"dmwappushservice"
